csh,Adobe Photoshop custom shape,https://www.file-extensions.org/csh-file-extension
csl,CorelDRAW symbol library,https://www.file-extensions.org/csl-file-extension
drw,Vector drawing,https://www.file-extensions.org/drw-file-extension
emz,Microsoft Windows compressed enhanced metafile,https://www.file-extensions.org/emz-file-extension
odg,OpenDocument drawing,https://www.file-extensions.org/odg-file-extension
pic,Picture image,https://www.file-extensions.org/pic-file-extension
sda,Apache OpenOffice (OpenOffice.org) drawing,https://www.file-extensions.org/sda-file-extension
svg,XML based scalable vector graphics format,https://www.file-extensions.org/svg-file-extension
svgz,Compressed SVG (Scalable Vector Graphics),https://www.file-extensions.org/svgz-file-extension
swf,"ShockWave Flash, Animated vector format for the Internet",https://www.file-extensions.org/swf-file-extension
wmf,Windows Metafile Format,https://www.file-extensions.org/wmf-file-extension
abr,Adobe Photoshop brush,https://www.file-extensions.org/abr-file-extension
ai,Adobe Illustrator graphics,https://www.file-extensions.org/ai-file-extension
ani,Animated cursor,https://www.file-extensions.org/ani-file-extension
cdt,CorelDRAW template,https://www.file-extensions.org/cdt-file-extension
djvu,DjVu image,https://www.file-extensions.org/djvu-file-extension
eps,Encapsulated PostScript image,https://www.file-extensions.org/eps-file-extension
fla,"Editable Adobe Flash project (animation, movie, flash application)",https://www.file-extensions.org/fla-file-extension
icns,Apple icon graphic format,https://www.file-extensions.org/icns-file-extension
ico,Icon image,https://www.file-extensions.org/ico-file-extension
icon,Icon image file,https://www.file-extensions.org/icon-file-extension
mdi,Microsoft Office Document Imaging file format,https://www.file-extensions.org/mdi-file-extension
odg,OpenDocument drawing,https://www.file-extensions.org/odg-file-extension
pic,Picture image,https://www.file-extensions.org/pic-file-extension
psb,Adobe Photoshop Large Document Format,https://www.file-extensions.org/psb-file-extension
psd,Adobe Photoshop graphics,https://www.file-extensions.org/psd-file-extension
pzl,Puzzle picture image,https://www.file-extensions.org/pzl-file-extension-puzzle-picture-image
sup,3D Subtitle format,https://www.file-extensions.org/sup-file-extension
vsdx,Microsoft Visio drawing,https://www.file-extensions.org/vsdx-file-extension
xmp,Adobe Extensible Metadata Platform data,https://www.file-extensions.org/xmp-file-extension
3d,3D drawing CAD data,https://www.file-extensions.org/3d-file-extension
3ds,3ds Max (3D Studio MAX) graphics,https://www.file-extensions.org/3ds-file-extension
c4d,CINEMA 4D file format,https://www.file-extensions.org/c4d-file-extension
dgn,MicroStation drawing,https://www.file-extensions.org/dgn-file-extension
dwfx,Autodesk Design Web Format,https://www.file-extensions.org/dwfx-file-extension
dwg,AutoCAD drawing,https://www.file-extensions.org/dwg-file-extension
dxf,AutoCAD DXF Drawing Exchange Format,https://www.file-extensions.org/dxf-file-extension
ipt,AutoDesk Inventor CAD part,https://www.file-extensions.org/ipt-file-extension
lcf,ArchiCAD library container,https://www.file-extensions.org/lcf-file-extension-archicad-library-container
max,3ds Max (3D Studio MAX) scene,https://www.file-extensions.org/max-file-extension
obj,3D object graphics,https://www.file-extensions.org/obj-file-extension
pro,General project file,https://www.file-extensions.org/pro-file-extension-general-project-file
skp,SketchUp graphics,https://www.file-extensions.org/skp-file-extension
stl,Stereolithography CAD data,https://www.file-extensions.org/stl-file-extension
u3d,Universal 3D format graphics,https://www.file-extensions.org/u3d-file-extension
x_t,Parasolid model (text),https://www.file-extensions.org/x_t-file-extension
eot,Embedded OpenType font,https://www.file-extensions.org/eot-file-extension
otf,OpenType font file format,https://www.file-extensions.org/otf-file-extension
ttc,TrueType Font collection,https://www.file-extensions.org/ttc-file-extension
ttf,TrueType font,https://www.file-extensions.org/ttf-file-extension
woff,Web Open Font Format package,https://www.file-extensions.org/woff-file-extension
abw,AbiWord document,https://www.file-extensions.org/abw-file-extension
aww,Ability Write document,https://www.file-extensions.org/aww-file-extension
chm,Microsoft compiled HTML help module,https://www.file-extensions.org/chm-file-extension
cnt,Help Contents data,https://www.file-extensions.org/cnt-file-extension
dbx,Microsoft Outlook Express e-mail folder,https://www.file-extensions.org/dbx-file-extension
djvu,DjVu image,https://www.file-extensions.org/djvu-file-extension
doc,Microsoft Word document (prior version 2007),https://www.file-extensions.org/doc-file-extension
docm,Microsoft Word Open XML macro-enabled document,https://www.file-extensions.org/docm-file-extension
docx,Microsoft Word Open XML document,https://www.file-extensions.org/docx-file-extension
dot,Microsoft Word document template (up to Microsoft Word 2003 version),https://www.file-extensions.org/dot-file-extension
dotm,Microsoft Word Open XML macro-enabled document template,https://www.file-extensions.org/dotm-file-extension
